table,project,sponsors,link
116,BreachHound,"Best use of SparkPost , Biggest Gamechanger - Booz Allen Hamilton, Best Use of Capital One's API, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71405-breachhound
117,Hive,"Most Aesthetic UI and UX Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Best Use of Capital One's API, Most Creative UX/UI - Viacom, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71406-hive
118,bitDoc,"Best Philantrophic Hack | Bloomberg, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71407-bitdoc
119,haalo,,http://bitcamp2017.devpost.com/submissions/71408-haalo
120,Twitch Plays Tinder,Most Humorous Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71409-twitch-plays-tinder
121,StackCents,"Best Cybersecurity Related Hack - OPIS, Amazon Web Services - Best Use of AWS, Biggest Gamechanger - Booz Allen Hamilton, Smart Document Analytics - FINRA, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71410-stackcents
122,Alien Attack!,"Most Humorous Hack - Bitcamp, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71411-alien-attack
123,That's What He Said,"Most Humorous Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71412-that-s-what-he-said
124,Bitell,"Best iOS App - MakeSchool, Most Aesthetic UI and UX Hack - Bitcamp, Best Philantrophic Hack | Bloomberg, Most Creative Work Collaboration - Leidos, Best Domain Name from Domain.com, Best Domain (.me) Name - Namecheap, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71413-bitell
125,MeleeTutor,"Most Humorous Hack - Bitcamp, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71414-meleetutor
126,BitcampStressApp,"Best Philantrophic Hack | Bloomberg, Most Humorous Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Most Creative UX/UI - Viacom, Best Rookie Hack - Bitcamp, Credible Challenge",http://bitcamp2017.devpost.com/submissions/71415-bitcampstressapp
127,Dawn,"Most Aesthetic UI and UX Hack - Bitcamp, Best Philantrophic Hack | Bloomberg, Biggest Gamechanger - Booz Allen Hamilton, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71416-dawn
128,Rentible,"Best iOS App - MakeSchool, Best use of SparkPost , Most Aesthetic UI and UX Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Best Use of React JS - Appian, Best Use of Capital One's API, Best X for Y - Bitcamp",http://bitcamp2017.devpost.com/submissions/71417-rentible
129,SpotterBot,,http://bitcamp2017.devpost.com/submissions/71418-spotterbot
130,Tim,"Best use of SparkPost , Most Aesthetic UI and UX Hack - Bitcamp, Most Creative Work Collaboration - Leidos, Most Creative UX/UI - Viacom, Best X for Y - Bitcamp, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71419-tim
131,CodeBuilder,"Best Philantrophic Hack | Bloomberg, Most Humorous Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton, Best Moonshot Hack - Bitcamp, Credible Challenge",http://bitcamp2017.devpost.com/submissions/71420-codebuilder
132,Pebble Accessa,"Amazon Web Services - Best Use of AWS, Biggest Gamechanger - Booz Allen Hamilton, Best X for Y - Bitcamp, Best Use of IBM Cognitive & Bluemix - IBM",http://bitcamp2017.devpost.com/submissions/71421-pebble-accessa
